produto_id_inexistente,arquivos,bytes
33119,6,533509
33129,2,819555
33146,4,280405
33148,2,443775
33149,4,252905
33151,2,336953
33183,2,131332
332,1,219261
333,5,416564
334,5,416564
336,6,347709
33625,4,268191
33709,4,180071
33727,6,369792
33962,6,1430813
34339,15,1291008
34377,3,286749
34378,3,182683
34379,3,198990
34380,4,194021
34404,4,266199
34405,3,70545
34760,4,229215
34866,1,37959
34877,4,946150
34936,3,84211
34946,4,656212
34947,2,59262
34952,3,95970
35022,4,172940
35024,5,376118
35036,5,144143
35064,7,530519
35254,3,279266
35262,4,525301
35309,5,550559
35312,6,995783
35387,3,397220
35547,3,351382
35631,3,428273
35684,3,217802
35760,5,256942
35784,2,154832
35801,5,284168
35876,3,327923
35971,1,161532
36385,4,102660
36386,7,227998
36391,8,255673
36484,9,703539
36487,5,1378913
36495,8,670197
36496,8,670594
36499,9,767890
36505,10,865583
36509,8,669967
36519,5,1350845
36523,8,670594
36526,9,767660
36528,10,863942
36529,8,662033
36531,8,669967
36532,8,670197
36533,9,769699
36534,9,767890
36543,7,572274
36573,10,676808
36790,4,168135
36841,3,101905
36844,5,114388
36845,4,123567
36851,4,125861
36852,3,89877
36888,3,84694
37300,5,221104
37305,6,220950
37308,8,514412
37385,4,234861
37502,10,633660
37530,7,3811957
37549,4,1291434
37608,2,79740
37614,3,163107
37617,3,193195
37620,3,167352
37621,4,341412
37788,5,169443
37863,4,253176
37865,5,278694
37903,3,84180
38050,3,171595
38055,5,204081
38072,3,79945
38075,3,267343
38077,3,141336
38079,4,163960
38081,5,200257
38082,4,886164
38098,4,148860
38122,3,147294
38159,3,200026
38251,2,27279
38273,3,62878
38283,6,1223073
38284,5,1229055
38286,5,1258786
38292,3,290858
38312,1,28923
38322,1,16188
38325,3,72620
38365,1,15158
38405,5,1235161
38406,5,1292112
38407,5,1246219
38408,5,132850
38412,4,643314
38422,1,17874
38525,1,32283
38527,1,32283
38530,1,32283
38531,1,32283
38533,1,32283
38534,1,32283
38601,6,1097129
38845,4,155377
38891,3,61525
39009,5,497613
39018,3,276352
39019,3,238939
39022,3,143867
39074,2,138811
39099,4,292513
